<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
33,CTG0034,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 20/80 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,20% polyester / 80% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=20/80; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
34,CTG0035,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 30/70 - untreated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,30% polyester / 70% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=30/70; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
35,CTG0036,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 30/70 - untreated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,30% polyester / 70% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=30/70; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
36,CTG0037,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 30/70 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,30% polyester / 70% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=30/70; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
37,CTG0038,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 30/70 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,30% polyester / 70% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=30/70; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
38,CTG0039,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 50/50 - untreated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,50% polyester / 50% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=50/50; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
39,CTG0040,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 50/50 - untreated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,50% polyester / 50% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=50/50; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
40,CTG0041,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 50/50 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,50% polyester / 50% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=50/50; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
41,CTG0042,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 50/50 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,50% polyester / 50% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=50/50; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
42,CTG0043,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 65/35 - untreated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,65% polyester / 35% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=65/35; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
43,CTG0044,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 65/35 - untreated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,65% polyester / 35% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=65/35; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
44,CTG0045,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 65/35 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,65% polyester / 35% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=65/35; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
45,CTG0046,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 65/35 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,65% polyester / 35% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=65/35; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
46,CTG0047,C-真实织物体系参考,100% polyester control,100% polyester - untreated - N2,,USDA/Southern Regional Research Center study,聚酯,织物,100% polyester,,untreated,S2聚酯辅助热响应参照,N2,,5,,750.0,,,,,416.0,,0.11,mg/min-mg,,,,N2下主要分解335–470°C；摘要明确最大失重速率0.11 mg/min-mg@416°C。,出版社摘要明确数值,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实聚酯织物参照；不是Trevira CS等特定商品,未处理普通PET参考，不等同阻燃聚酯。,是,2026-09-06
47,CTG0048,C-真实织物体系参考,100% polyester control,100% polyester - untreated - air,,USDA/Southern Regional Research Center study,聚酯,织物,100% polyester,,untreated,S2聚酯辅助热响应参照,air,,5,,750.0,,,,,405.0,,0.11,mg/min-mg,,,,摘要明确最大失重速率0.11 mg/min-mg@405°C。,出版社摘要明确数值,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实聚酯织物参照；不是Trevira CS等特定商品,未处理普通PET参考，不等同阻燃聚酯。,是,2026-09-06
48,CTG0049,C-商业阻燃剂/商业应用水平,untreated cotton,untreated cotton,,commercial finish system,棉,织物,cotton fabric,,未处理,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
49,CTG0050,C-商业阻燃剂/商业应用水平,Amgard TR,Amgard TR,,commercial finish system,棉,织物,cotton fabric,,commercial ammonium polyphosphate finish,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
50,CTG0051,C-商业阻燃剂/商业应用水平,Pyrovatex CP,Pyrovatex CP,,commercial finish system,棉,织物,cotton fabric,,commercial phosphonopropionamide finish,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
51,CTG0052,C-商业阻燃剂/商业应用水平,Proban CC,Proban CC,C0203;C0204（仅THPC/工艺族辅助）,commercial finish system,棉,织物,cotton fabric,,commercial phosphonium salt-urea-polycondensate finish,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
52,CTG0053,C-商业阻燃剂/商业应用水平,Amgard CD,Amgard CD,,commercial finish system,棉,织物,cotton fabric,,commercial APP-ammonium bromide finish,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
53,CTG0054,C-商业阻燃剂/商业应用水平,Flacavon,Flacavon,,commercial finish system,棉,织物,cotton fabric,,commercial Sb2O3-aliphatic bromide formulation,消防/工装/公共场所阻燃棉参照,N2,,,,,,,,,,,,,,,,论文明确：未处理棉及5种商业阻燃体系按commercial levels of application处理后进行TGA；不同升温速率；TG曲线具有特征性三阶段。,出版社摘要/全文入口确认TG,原始论文,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994.0,10.1016/0141-3910(94)90091-4,https://www.sciencedirect.com/science/article/abs/pii/0141391094900914,商业阻燃剂/商业应用水平；不是当前中国SKU直接实测,需下载全文提取各商业体系精确TGA参数；与1997空气热分析研究可能共享材料组，后续去重。,否,2026-09-06
54,CTG0055,C-商业阻燃剂/真实织物,Pyrovatex® CP New,Pyrovatex CP New finished cotton,,Huntsman (Thailand) supplied chemistry,棉,织物,commercial desized/scoured/bleached plain-weave cotton; 209 g/m²,209.0,Pyrovatex CP New 350 g/L + Lyofix CHN 45 g/L + H3PO4 21.5 g/L; 80% WPU; cure 150°C 5 min,阻燃棉/工装/公共纺织参照,air,,10,,,,,,,,,,,,,,Perkin Elmer TGA-7；空气，10°C/min。原文图3含TG曲线；Pyrovatex finished cotton的%char报告为6.3%，但其char定义与固定温度残余不同，故未填入残余质量栏。,原始论文方法+正文,原始论文开放PDF,Flame-retardant Cotton Fabrics Based on Sol-gel Technique,2007.0,,https://www.thaiscience.info/Journals/Article/NUSJ/10888714.pdf,商业Pyrovatex体系的真实棉织物实验；非具体商品SKU,需进一步从图3数字化T5/Tmax/固定温度残余；%char=6.3%不直接当R700/R800。,否,2026-09-06
